2026-09-10T17:32:31.194782+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:32:31.194710Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(2), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 20965, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 20, send_failures: 0, source_overruns: 0, max_lateness: 60.159834ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 16, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.586319ms, last_active_send_gap_unix_ms: 1789061453692 } })
2026-09-10T17:32:38.013850+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:32:38.013793Z  INFO raydio::session: track finished generation=2 position_ms=212260
2026-09-10T17:32:38.019128+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:32:38.015975Z  INFO raydio::session: track started generation=3
2026-09-10T17:33:31.194586+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:33:31.194535Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 23954, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 27, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 20, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 78.556087ms, last_active_send_gap_unix_ms: 1789061558992 } })
2026-09-10T17:34:31.194533+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:34:31.194477Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 26953, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 27, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 20, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 78.556087ms, last_active_send_gap_unix_ms: 1789061558992 } })
2026-09-10T17:35:31.194961+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:35:31.194843Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 29954, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 27, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 20, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 78.556087ms, last_active_send_gap_unix_ms: 1789061558992 } })
2026-09-10T17:36:11.294265+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:36:11.294222Z  INFO raydio::session: track finished generation=3 position_ms=212980
2026-09-10T17:36:11.295840+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:36:11.295741Z  INFO raydio::session: track started generation=4
2026-09-10T17:36:31.194568+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:36:31.194461Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 32953, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 27, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 20, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 78.556087ms, last_active_send_gap_unix_ms: 1789061558992 } })
2026-09-10T17:37:31.195260+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:37:31.195197Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 35952, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 28, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 21, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 57.840593ms, last_active_send_gap_unix_ms: 1789061813091 } })
2026-09-10T17:38:31.195495+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:38:31.195369Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 38952, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 28, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 21, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 57.840593ms, last_active_send_gap_unix_ms: 1789061813091 } })
2026-09-10T17:39:31.194851+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:39:31.194744Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 41952, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 28, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 21, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 57.840593ms, last_active_send_gap_unix_ms: 1789061813091 } })
2026-09-10T17:39:44.393228+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:39:44.393116Z  INFO raydio::session: track finished generation=4 position_ms=212880
2026-09-10T17:39:44.394579+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:39:44.394549Z  INFO raydio::session: track started generation=5
2026-09-10T17:40:31.194632+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:40:31.194574Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(5), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 44952, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 28, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 21, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 57.840593ms, last_active_send_gap_unix_ms: 1789061813091 } })
