2026-09-09T08:44:23.803959+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:44:23.803644Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(3), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 29982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:45:03.333655+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:45:03.333611Z  INFO raydio::session: track finished generation=3 position_ms=212540
2026-09-09T08:45:03.335177+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:45:03.335155Z  INFO raydio::session: track started generation=4
2026-09-09T08:45:23.803430+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:45:23.803363Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 32982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:46:23.803027+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:46:23.802967Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 35982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:47:23.803186+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:47:23.802927Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 38982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:48:23.802815+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:48:23.802745Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(4), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 41982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:48:36.393188+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:48:36.393079Z  INFO raydio::session: track finished generation=4 position_ms=212480
2026-09-09T08:48:36.395144+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:48:36.395112Z  INFO raydio::session: track started generation=5
2026-09-09T08:49:23.803484+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:49:23.803412Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(5), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 44982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:50:23.802890+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:50:23.802759Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(5), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 47982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:51:23.802744+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:51:23.802684Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(5), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 50982, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 7, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:52:09.892685+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:52:09.892477Z  INFO raydio::session: track finished generation=5 position_ms=213020
2026-09-09T08:52:09.895732+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:52:09.895694Z  INFO raydio::session: track started generation=6
2026-09-09T08:52:23.803456+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:52:23.803315Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 53933, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:53:23.802746+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:53:23.802627Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 56933, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:54:23.803127+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:54:23.803029Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 59932, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:55:23.803462+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:55:23.803402Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(6), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 62932, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:55:43.513224+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:55:43.513165Z  INFO raydio::session: track finished generation=6 position_ms=212360
2026-09-09T08:55:43.515431+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:55:43.515406Z  INFO raydio::session: track started generation=7
2026-09-09T08:56:23.803097+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:56:23.802981Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(7), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 65932, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:57:23.803590+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:57:23.803441Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(7), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 68932, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
2026-09-09T08:58:23.802767+00:00 raydio-vnic raydio[5601]: 2026-09-09T08:58:23.802675Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(7), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 71932, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 25, send_failures: 0, source_overruns: 0, max_lateness: 60.25892ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns } })
