summary,137126098406909,138326098627506,3002167997
timer,0,59992,37170681,0,0
late,0,137126235042723,16635814
late,0,137156690103651,11696742
late,0,137174050034336,11627427
late,0,137213250065612,11658703
late,0,137330135225202,36818293
late,0,137350269064120,10657211
late,0,137437971035298,12628389
late,0,137467630026840,11619931
late,0,137515751036964,12630055
late,0,137639790111574,11704665
late,0,137644051040516,12633607
late,0,137651651047163,12640254
late,0,137656970036899,11629990
late,0,137702311024780,12617871
late,0,137705949048524,10641615
late,0,137734149026355,10619446
late,0,137743850164646,11757737
late,0,137840938497853,20090944
late,0,137866789166877,10759968
late,0,137902149986742,11579833
late,0,137959270985109,12578200
late,0,137991449428473,11021564
late,0,138008948968068,10561159
late,0,138056548984942,10578033
late,0,138062849068648,10661739
late,0,138079788597658,10190749
late,0,138126569794741,11387832
late,0,138177948965742,10558833
late,0,138205250971732,12564823
late,0,138223070967414,12560505
late,0,138230034946479,16539570
late,0,138230135577590,37170681
late,0,138230235181687,16774778
late,0,138230334964028,36557119
late,0,138230434960874,36553965
late,0,138230534944526,36537617
late,0,138235389950978,11544069
late,0,138254889936051,11529142
late,0,138304270944557,12537648
late,0,138313834941692,36534783
late,0,138314034969978,36563069
late,0,138314250946076,12539167
timer,1,59988,37136880,0,0
late,1,137126235164653,36757744
late,1,137128535029608,16622699
late,1,137128635050439,36643530
late,1,137139653055293,14648384
late,1,137151549072467,10665558
late,1,137151571045111,12638202
late,1,137188350052414,11645505
late,1,137247152419519,14012610
late,1,137255270051717,11644808
late,1,137261049098254,10691345
late,1,137266849052137,10645228
late,1,137267850057423,11650514
late,1,137305270039879,11632970
late,1,137318751049660,12642751
late,1,137330135184475,36777566
late,1,137330235051817,36644908
late,1,137363511047409,12640500
late,1,137380649062796,10655887
late,1,137437789046273,10639364
late,1,137438171058304,12651395
late,1,137447371031062,12624153
late,1,137455550044602,11637693
late,1,137462569056685,10649776
late,1,137480289077738,10670829
late,1,137483751049196,12642287
late,1,137572551045056,12638147
late,1,137645451057943,12651034
